method,time_S_BA,time_nDTW,freq_MSC_mean,freq_Delta_f_peak_Hz,nl_XSampEn,nl_PLV,BA_bias,BA_sd,BA_loa_width,S_time,S_freq,S_nl,TDSI,mm_z_mean,mm_z_std,ecg_z_mean,ecg_z_std,f0_Hz,file_index,mmwave_file,ecg_file
原始波形,0.6207030208832327,0.2660000038219871,0.16277847240183108,0.17359375,1.5502506823778128,0.10897040510771526,-2.7963638401353266e-17,1.421274942601805,5.571397774999076,0.6935710727274658,0.16950668749790135,0.2505443599751226,0.37120737340016324,2.6632036572717397e-18,1.0,-7.989610971815219e-18,1.0,1.38875,1,001.csv,001.csv
帶通,0.6165781367283211,0.23720043334831423,0.15952889071787943,0.17359375,1.2426637161423213,0.1030776193114181,-1.9308226515220113e-17,1.4560463487055362,5.707701686925701,0.7027056502137526,0.1678818966559255,0.2744879733671844,0.3816918400789542,2.3303032001127723e-17,0.9999999999999998,-7.989610971815219e-18,1.0,1.38875,1,001.csv,001.csv
小波去噪,0.6191409325808631,0.2696492477897415,0.2764198167856349,0.04339843750000005,1.408767216971949,0.20519822959108722,-1.731082377226631e-17,1.4343009986472575,5.62245991469725,0.6913941154631497,0.46217109798953415,0.3101741749661764,0.48791312947295346,-1.5979221943630438e-17,0.9999999999999999,-7.989610971815219e-18,1.0,1.38875,1,001.csv,001.csv
NLMS,0.6229150952061847,0.2590390657392873,0.26333158541067375,0.0,1.3261232820988689,0.07953200983586053,-2.6632036572717397e-18,1.4031142642812404,5.500207915982462,0.6973539835009192,0.6316657927053368,0.25471591915843794,0.5279118984548979,-1.997402742953805e-17,1.0000000000000002,-7.989610971815219e-18,1.0,1.38875,1,001.csv,001.csv
帶通+小波,0.6167161145606093,0.23681349734363769,0.20082065073561284,0.17359375,1.261179149090584,0.11147066751001064,3.062684205862501e-17,1.454863483310322,5.703064854576462,0.7029272826359856,0.18852777666479223,0.2768589011649973,0.38943798682192504,5.3264073145434795e-18,1.0,-7.989610971815219e-18,1.0,1.38875,1,001.csv,001.csv
帶通+小波+NLMS,0.6326193465193234,0.26333119570564345,0.5910699370761694,0.17359375,1.236610275215667,0.23848036885276575,-2.7297837487035332e-17,1.3271251299606335,5.202330509445683,0.700553340986285,0.3836524198350705,0.3427927655535473,0.475666175458301,-5.992208228861415e-18,1.0,-7.989610971815219e-18,1.0,1.38875,1,001.csv,001.csv
原始波形,0.6202097661403326,0.2591952414207322,0.24826364423428618,0.30378906249999993,1.49309892034995,0.08182876057598014,4.394286034498371e-17,1.4253698305339872,5.58744973569323,0.6959410560350744,0.14809977097158006,0.24146799487533918,0.3618362739606645,1.464762011499457e-17,0.9999999999999999,-3.728485120180436e-17,1.0,1.475546875,2,002.csv,002.csv
帶通,0.6216192913589581,0.23964357389077034,0.24930635123355765,0.30378906249999993,1.3604355606471195,0.08691698392168304,1.5979221943630438e-17,1.4137124954290143,5.541752982081736,0.7042637885529066,0.1486211244712158,0.2552838043463759,0.36938957245683274,7.989610971815219e-18,1.0,-3.728485120180436e-17,1.0,1.475546875,2,002.csv,002.csv
小波去噪,0.6181899489183563,0.2688787600177136,0.28650410438052515,0.21699218749999982,1.3002653024803712,0.24581727407144074,-9.987013714769024e-19,1.4423150315975073,5.653874923862229,0.6912129274488416,0.20034532088306725,0.3402748684268782,0.41061103891959566,-2.1305629258173918e-17,0.9999999999999998,-3.728485120180436e-17,1.0,1.475546875,2,002.csv,002.csv
NLMS,0.6225714705236534,0.27355505973272887,0.23638173261126644,0.21699218749999982,1.3893672863603521,0.17518055002723795,1.5979221943630438e-17,1.405913805722033,5.511182118430369,0.6916209617073255,0.1752841349984379,0.2968506942276253,0.38791859697779624,1.0319914171927992e-17,0.9999999999999999,-3.728485120180436e-17,1.0,1.475546875,2,002.csv,002.csv
帶通+小波,0.6226046621050241,0.24547616812813616,0.2593891443086007,0.30378906250000015,1.3380491857916765,0.08751428091590399,1.7976624686584242e-17,1.4056430486853049,5.510120750846395,0.7024682950558168,0.15366252100873729,0.2576106397934235,0.37124715195265917,-2.6632036572717397e-18,1.0,-3.728485120180436e-17,1.0,1.475546875,2,002.csv,002.csv
帶通+小波+NLMS,0.6236724892097784,0.26815173584863644,0.5393229052957343,0.1735937500000002,1.3173310540019636,0.0889554744592938,-9.32121280045109e-18,1.3969712430323606,5.4761272726868535,0.6942321075932161,0.3577789039448528,0.26024319686758446,0.43741806946855116,6.325108686020382e-18,1.0,-3.728485120180436e-17,1.0,1.475546875,2,002.csv,002.csv
原始波形,0.6239775795190416,0.25161697317694764,0.2876034337502173,0.21699218750000004,1.8099579601104885,0.3054067019922366,2.8629439315671206e-17,1.3945073594956228,5.466468849222841,0.7007600400963182,0.2008949855679132,0.3306419561631293,0.4107656606091202,3.9948054859076094e-18,1.0,-1.0652814629086959e-17,1.0,1.38875,3,003.csv,003.csv
帶通,0.6233457655961633,0.25484251903018873,0.28841003744919896,0.21699218750000004,1.6274340543268433,0.31967141149930267,7.989610971815219e-18,1.3996165844011708,5.486497010852589,0.699192153884217,0.20129828741740402,0.35013543912511047,0.4168752934755771,0.0,1.0,-1.0652814629086959e-17,1.0,1.38875,3,003.csv,003.csv
小波去噪,0.6234161078238751,0.2518312296818815,0.2510033431849555,0.0,1.872879327941513,0.22841560176589712,2.6465586344137913e-17,1.399046462050889,5.484262131239484,0.700396016402219,0.6255016715924777,0.288249221675329,0.5380489698900085,-2.6632036572717397e-18,1.0,-1.0652814629086959e-17,1.0,1.38875,3,003.csv,003.csv
NLMS,0.6326028886559979,0.2644583302397646,0.2959022735509135,0.13019531249999994,1.5267974072954495,0.3812420455163013,2.396883291544566e-17,1.3272492361716812,5.202817005792991,0.7001122617333084,0.2839511487007723,0.3884999657063998,0.45752112538016015,0.0,1.0,-1.0652814629086959e-17,1.0,1.38875,3,003.csv,003.csv
帶通+小波,0.6234514993805874,0.261956093011196,0.28114141727243436,0.21699218750000004,1.6175351226667194,0.22008300555760515,-3.6619050287486425e-18,1.3987597370539926,5.483138169251651,0.6964981553709086,0.19766397732902174,0.3010609071299483,0.3984076799432929,-1.5979221943630438e-17,1.0,-1.0652814629086959e-17,1.0,1.38875,3,003.csv,003.csv
帶通+小波+NLMS,0.6372489977575733,0.2940721805329893,0.7036441289123352,0.17359375,1.6544647944686715,0.3018021306179178,2.396883291544566e-17,1.2928113203719764,5.0678203758581475,0.6912358483439474,0.4399395157531534,0.33926295319004574,0.49014610576238216,1.0652814629086959e-17,1.0,-1.0652814629086959e-17,1.0,1.38875,3,003.csv,003.csv
原始波形,0.6155767060641243,0.2654522951977219,0.22359695460925277,0.30378906250000015,1.5595732609129267,0.12325808972497741,-1.9974027429538047e-18,1.4646736671243046,5.741520775127274,0.691217865467668,0.1357664261590633,0.25697410789915454,0.36131946650862856,-1.3316018286358699e-18,1.0,-1.3316018286358699e-17,1.0,1.5189453124999999,4,004.csv,004.csv
